,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
23858,23858,41890601,"Quiet, spacious and 15 minutes to beach or UCLA",85380028,Rebecca,City of Los Angeles,Brentwood,34.05892,-118.49816,Entire home/apt,359.0,14,1,2021-01-04,0.83,1,0.0,2015-05-24 00:00:00
21649,21649,39207530,"Bohemian, Modern & Spacious 1BD Hollywood Hills!",8947305,Martin,City of Los Angeles,Hollywood,34.1019,-118.34833,Entire home/apt,145.0,30,3,2020-11-28,0.24,1,30.0,2015-05-24 00:00:00
30107,30107,46974521,A Beautiful Decorated Home To Experience Local LA,10035468,Ella,City of Los Angeles,Gramercy Park,33.95061,-118.30118,Entire home/apt,321.0,1,4,2021-01-23,2.79,3,179.0,2015-05-24 00:00:00
5539,5539,11880996,Mermaid Cove,52798803,Rita,Other Cities,Malibu,34.01996,-118.81512,Private room,120.0,30,1,2016-06-12,0.02,4,83.0,2015-05-24 00:00:00
22608,22608,40347002,Beautiful quiet condominium. Centrally located.,256900158,R,Other Cities,Santa Clarita,34.41099,-118.55911,Entire home/apt,120.0,2,13,2020-01-30,0.9,1,39.0,2015-05-24 00:00:00
6784,6784,14189240,Furnshd New Beach Home 30 night min,28862814,Alex,Other Cities,Manhattan Beach,33.8736,-118.3837,Entire home/apt,999.0,30,13,2017-03-31,0.24,1,179.0,2015-05-24 00:00:00
3470,3470,6968306,1010 Wilshire Entire Apartment,36536301,Britnie,City of Los Angeles,Westlake,34.0518,-118.2625,Entire home/apt,150.0,30,8,2015-10-15,0.12,1,0.0,2015-05-24 00:00:00
5317,5317,11355296,The googooly,59476855,Dari,City of Los Angeles,Westwood,34.05627,-118.42829,Entire home/apt,99.0,30,2,2021-01-30,0.38,2,179.0,2015-05-24 00:00:00
6245,6245,13141875,Studio City Home With a Pool,63091226,Oleg,City of Los Angeles,Studio City,34.14357,-118.38062,Private room,650.0,7,2,2016-08-02,0.04,1,102.0,2015-05-24 00:00:00
9106,9106,18294906,Beautiful private room/bath in Redondo Beach house,13788865,Whitney,Other Cities,Redondo Beach,33.86538,-118.36845,Private room,90.0,2,2,2017-05-28,0.05,1,0.0,2015-05-24 00:00:00
8654,8654,17512880,DEN ROOM IN HOLLYWOOD LA MODERN CONDO,58286290,Jennifer,City of Los Angeles,Hollywood,34.10203,-118.3414,Private room,59.0,30,8,2017-11-20,0.19,4,365.0,2015-05-24 00:00:00
13350,13350,24359310,Dog-Friendly Downtown Vacay - Long Beach,29707977,Maria,Other Cities,Long Beach,33.77442,-118.19592,Private room,65.0,30,72,2020-03-15,2.39,2,0.0,2015-05-24 00:00:00
16595,16595,29928011,Renovated Modern Unit in Highland Park,225020818,Lucy,City of Los Angeles,Highland Park,34.11339,-118.2043,Entire home/apt,162.0,30,42,2019-10-07,1.82,3,0.0,2015-05-24 00:00:00
19063,19063,33969931,Small house with a big heart,238566955,Jacob,City of Los Angeles,Van Nuys,34.20376,-118.46857,Entire home/apt,126.0,1,115,2020-10-07,6.39,1,236.0,2015-05-24 00:00:00
25931,25931,42760073,"2Bed/1.5Bath Suite at 1111 11th st, Santa Monica",891818,Nicole,Other Cities,Santa Monica,34.02684,-118.49193,Entire home/apt,150.0,31,0,,,93,179.0,2015-05-24 00:00:00
22487,22487,39030179,Viceroy Santa Monica | Ocean View Two Bedded Room,298417951,Viceroy Santa Monica,Other Cities,Santa Monica,34.00898,-118.49151,Private room,515.0,1,0,,,14,40.0,2015-05-24 00:00:00
6267,6267,13173116,Clean apartment in West LA ( Near UCLA),33750867,Janaki,City of Los Angeles,Westwood,34.06794,-118.45377,Entire home/apt,75.0,30,5,2016-08-24,0.1,1,0.0,2015-05-24 00:00:00
