,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,year,month,partial_date,clean_date,weekofday
8922512,22815053,2020-02-07 00:00:00,f,63.0,$63.00,1.0,1125.0,2020,2,02-07,2020-02-07,Fri
10383954,25589787,2019-08-21 00:00:00,t,95.0,$95.00,5.0,1125.0,2019,8,08-21,2019-08-21,Wed
13196487,30506988,2019-05-16 00:00:00,t,4899.0,"$4,899.00",3.0,1125.0,2019,5,05-16,2019-05-16,Thr
3428956,10906704,2019-08-04 00:00:00,f,69.0,$69.00,1.0,24.0,2019,8,08-04,2019-08-04,Sun
6363995,18473384,2020-02-20 00:00:00,f,50.0,$50.00,1.0,1125.0,2020,2,02-20,2020-02-20,Thr
4367949,13727686,2019-09-08 00:00:00,f,200.0,$200.00,4.0,14.0,2019,9,09-08,2019-09-08,Sun
6987043,19746706,2020-04-30 00:00:00,f,103.0,$103.00,1.0,14.0,2020,4,04-30,2020-04-30,Thr
726103,1738146,2020-04-12 00:00:00,t,170.0,$170.00,2.0,40.0,2020,4,04-12,2020-04-12,Sun
7577996,20666314,2020-03-03 00:00:00,f,116.0,$116.00,2.0,10.0,2020,3,03-03,2020-03-03,Tue
9796383,24393271,2020-05-01 00:00:00,f,102.0,$102.00,31.0,1125.0,2020,5,05-01,2020-05-01,Fri
5703996,16911209,2020-01-08 00:00:00,t,695.0,$695.00,3.0,1125.0,2020,1,01-08,2020-01-08,Wed
572489,1383003,2019-12-05 00:00:00,t,148.0,$148.00,1.0,365.0,2019,12,12-05,2019-12-05,Thr
3295752,10353495,2019-08-16 00:00:00,t,97.0,$97.00,10.0,1125.0,2019,8,08-16,2019-08-16,Fri
1885888,5636553,2019-08-30 00:00:00,t,89.0,$89.00,1.0,1125.0,2019,8,08-30,2019-08-30,Fri
1637733,4688134,2019-11-23 00:00:00,f,175.0,$175.00,30.0,1125.0,2019,11,11-23,2019-11-23,Sat
3561659,11423258,2019-10-01 00:00:00,t,1500.0,"$1,500.00",5.0,1125.0,2019,10,10-01,2019-10-01,Tue
11677752,26249790,2020-01-16 00:00:00,f,81.0,$81.00,2.0,31.0,2020,1,01-16,2020-01-16,Thr
5447134,15549465,2019-09-16 00:00:00,t,2000.0,"$2,000.00",1.0,10.0,2019,9,09-16,2019-09-16,Mon
10132759,23582377,2019-07-13 00:00:00,t,36.0,$36.00,1.0,5.0,2019,7,07-13,2019-07-13,Sat
1800712,5096198,2019-09-10 00:00:00,f,250.0,$250.00,2.0,29.0,2019,9,09-10,2019-09-10,Tue
14776995,30721756,2020-01-14 00:00:00,f,186.0,$186.00,2.0,1125.0,2020,1,01-14,2020-01-14,Tue
15307111,31363738,2019-12-24 00:00:00,t,76.0,$76.00,1.0,365.0,2019,12,12-24,2019-12-24,Tue
6611323,18080483,2019-07-20 00:00:00,t,1000.0,"$1,000.00",1.0,1125.0,2019,7,07-20,2019-07-20,Sat
7274974,19332777,2020-01-30 00:00:00,f,12.0,$12.00,1.0,1125.0,2020,1,01-30,2020-01-30,Thr
10443768,24098180,2019-05-02 00:00:00,t,70.0,$70.00,1.0,7.0,2019,5,05-02,2019-05-02,Thr
11087403,25169886,2019-02-11 00:00:00,t,125.0,$125.00,2.0,29.0,2019,2,02-11,2019-02-11,Mon
9838638,23207880,2019-07-22 00:00:00,t,92.0,$92.00,2.0,1125.0,2019,7,07-22,2019-07-22,Mon
14233030,30077117,2019-08-01 00:00:00,t,308.0,$308.00,2.0,1125.0,2019,8,08-01,2019-08-01,Thr
15557239,31590824,2020-01-22 00:00:00,t,85.0,$85.00,14.0,90.0,2020,1,01-22,2020-01-22,Wed
